X,Y,ZID,NAME,ELEV,icon_url
16.454364478594,39.8501668876103,"0",F1,0.000,./0.png
16.4480524830255,39.8544991482055,"1",F2,0.000,./0.png
16.4474451495653,39.8554651713824,"2",F3,0.000,./0.png
16.4482879184135,39.856825254398,"3",F4,0.000,./0.png
16.4459142178118,39.8563169389939,"4",F5,0.000,./0.png
16.4490695003457,39.8622421512557,"5",F6,0.000,./0.png
16.452749277866,39.8617060111063,"6",F7,0.000,./0.png
16.4523573504932,39.8599813273452,"7",F8,0.000,./0.png
16.4542441116965,39.8649117462163,"8",F9,0.000,./0.png
16.4533907019624,39.8654102262399,"9",F10,0.000,./0.png
16.4605096369078,39.8639630492714,"10",F11,0.000,./0.png
16.4634250729674,39.8605186047218,"11",F12,0.000,./0.png
16.4556671345036,39.8606161195791,"12",F13,0.000,./0.png
16.4489575229224,39.8484291909218,"13",F14,0.000,./0.png
16.4501080077359,39.8470003182017,"14",F15,0.000,./0.png
16.4515431384608,39.8463246716719,"15",F16,0.000,./0.png
16.4539252997808,39.8445559976721,"16",F17,0.000,./0.png
16.4695435555707,39.8638827405411,"17",F18,0.000,./0.png
16.4678256674341,39.8556878436432,"18",F19,0.000,./0.png
16.4750882862946,39.8623888502778,"19",F20,0.000,./0.png
17.1077409540564,39.2930204254858,"0",F1,0.000,./0.png
17.1072968509098,39.2890371765333,"1",F2,0.000,./0.png
17.1071187954923,39.2854185042124,"2",F3,0.000,./0.png
17.1024267200395,39.2863052202194,"3",F4,0.000,./0.png
17.1001166297121,39.2834908513579,"4",F5,0.000,./0.png
17.0976080767013,39.2814007875156,"5",F6,0.000,./0.png
17.0996476511338,39.2805981868543,"6",F7,0.000,./0.png
17.0957022149517,39.2812459156627,"7",F8,0.000,./0.png
17.0934566205671,39.2864218635166,"8",F9,0.000,./0.png
17.1028121530238,39.2786490189919,"9",F10,0.000,./0.png
17.0996354605603,39.2770846191709,"10",F11,0.000,./0.png
17.0959340225584,39.278133389918,"11",F12,0.000,./0.png
17.0934615446776,39.2784121391223,"12",F13,0.000,./0.png
17.0922825376621,39.2761899180556,"13",F14,0.000,./0.png
17.0801786328923,39.2863175683527,"14",F15,0.000,./0.png
17.0801445807692,39.277722894647,"15",F16,0.000,./0.png
17.0770544168619,39.2767149302277,"16",F17,0.000,./0.png
17.077604429193,39.2721822230679,"17",F18,0.000,./0.png
17.0807209790157,39.2686037437831,"18",F19,0.000,./0.png
17.0880026838921,39.2729872306853,"19",F20,0.000,./0.png
