X,Y,DATA_CREAZ,DENOM_CORR,DENOM_ATTO,ENTE,ID_REG_BEN,NOTE_BENE,RIFER_LEGG,TIPO_BENE,SE_SDO_ROW,icon_url
16.1561944416136,39.7776111098863,2004/01/22,SARACENA - Castello Piazza M. Bianchi (SARACENA),DL 22/01/2004,I423,1357.0000000000000000000000000000000,Rudere Integrato,LR 12/04/1990 N. 42,Fortificazione,1357.0000000000000000000000000000000,./0.png
15.8028259968948,39.8000050098216,2004/01/22,SCALEA - Torre Allo scalo ferr. (di Talao?) (SCALEA),DL 22/01/2004,I489,1361.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1361.0000000000000000000000000000000,./0.png
15.7881944420223,39.8125555513556,2004/01/22,SCALEA - Torre Dell'Isola (di Giuda?) (SCALEA),DL 22/01/2004,I489,1360.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1360.0000000000000000000000000000000,./0.png
15.8028259968948,39.8000050098216,2004/01/22,SCALEA - Castello Via Castello (SCALEA),DL 22/01/2004,I489,1359.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1359.0000000000000000000000000000000,./0.png
16.3212500004624,39.1312500043608,2004/01/22,SCIGLIANO - Castello  (SCIGLIANO),DL 22/01/2004,D290,1362.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1362.0000000000000000000000000000000,./0.png
16.3197334925322,39.6870404474298,2004/01/22,SPEZZANO ALBANESE - Torre Del Mordillo (SPEZZANO ALBANESE),DL 22/01/2004,I895,1364.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1364.0000000000000000000000000000000,./0.png
16.3057777796957,39.1262222218357,2004/01/22,SPEZZANO ALBANESE - Castello S. Antonio di Stregola (SPEZZANO ALBANESE),DL 22/01/2004,I895,1363.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1363.0000000000000000000000000000000,./0.png
16.2777813611605,39.621290366004,2004/01/22,TARSIA - Castello  (TARSIA),DL 22/01/2004,L055,1365.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1365.0000000000000000000000000000000,./0.png
16.1700465030591,39.504728728805,2004/01/22,TORANO CASTELLO - Castello palazzo  (TORANO CASTELLO),DL 22/01/2004,L206,1368.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1368.0000000000000000000000000000000,./0.png
15.9137777727406,39.7562777798927,2004/01/22,VERBICARO - Castello Di S. Michele (VERBICARO),DL 22/01/2004,L747,1371.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1371.0000000000000000000000000000000,./0.png
16.9172012294923,39.2086837128607,2004/01/22,BELVEDERE DI SPINELLO - Castello  (BELVEDERE DI SPINELLO),DL 22/01/2004,A772,1017.0000000000000000000000000000000,Traccia storica. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1017.0000000000000000000000000000000,./0.png
16.723984547622,39.3940340633366,2004/01/22,BOCCHIGLIERO - Torri e bastioni Campanile Chiesa ed a. (BOCCHIGLIERO),DL 22/01/2004,A912,1251.0000000000000000000000000000000,Rudere Integrato. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1251.0000000000000000000000000000000,./0.png
16.7832222213464,39.2274166666801,2004/01/22,CACCURI - Casa fortificata Via Simonetta (CACCURI),DL 22/01/2004,B319,1028.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1028.0000000000000000000000000000000,./0.png
16.780416671346,39.2273888927563,2004/01/22,CACCURI - Castello  (CACCURI),DL 22/01/2004,B319,1027.0000000000000000000000000000000,Conservato Restaurato,LR 12/04/1990 N. 42,Fortificazione,1027.0000000000000000000000000000000,./0.png
16.801944439702,39.5604444451267,2004/01/22,CALOPEZZATI - Castello Piazza Garibaldi (CALOPEZZATI),DL 22/01/2004,B424,1254.0000000000000000000000000000000,Conservato,LR 12/04/1990 N. 42,Fortificazione,1254.0000000000000000000000000000000,./0.png
16.8261590507182,39.4048585280329,2004/01/22,CAMPANA - Torre Dell'orologio (CAMPANA),DL 22/01/2004,B500,1255.0000000000000000000000000000000,Conservato. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1255.0000000000000000000000000000000,./0.png
16.5060555556958,40.0943888894458,2004/01/22,CANNA - Castello Via Plebiscito (CANNA),DL 22/01/2004,B607,1256.0000000000000000000000000000000,Conservato Parzialmente,LR 12/04/1990 N. 42,Fortificazione,1256.0000000000000000000000000000000,./0.png
16.9622517393632,39.4902614849852,2004/01/22,CARIATI - Torre Foce T. Fiumenica (di Acquaniti) (CARIATI),DL 22/01/2004,B774,1258.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1258.0000000000000000000000000000000,./0.png
16.9462500021663,39.4960555572366,2004/01/22,CARIATI - Cinta muraria  (CARIATI),DL 22/01/2004,B774,1257.0000000000000000000000000000000,Conservato Parzialmente,LR 12/04/1990 N. 42,Fortificazione,1257.0000000000000000000000000000000,./0.png
16.9522558832316,39.2434952788319,2004/01/22,CASABONA - Torre S. Agata (CASABONA),DL 22/01/2004,B857,1030.0000000000000000000000000000000,Rudere. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1030.0000000000000000000000000000000,./0.png
16.9522558832316,39.2434952788319,2004/01/22,CASABONA - Castello  (CASABONA),DL 22/01/2004,B857,1029.0000000000000000000000000000000,Traccia storica. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1029.0000000000000000000000000000000,./0.png
16.8266113278096,39.2442716323547,2004/01/22,CASTELSILANO - Castello Palazzo (CASTELSILANO),DL 22/01/2004,B968,1031.0000000000000000000000000000000,Rudere Integrato. Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1031.0000000000000000000000000000000,./0.png
16.8161368091401,39.2557388085368,2004/01/22,CERENZIA - Casa fortificata Casino (Pr. G. Savelli) (CERENZIA),DL 22/01/2004,C501,1036.0000000000000000000000000000000,Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1036.0000000000000000000000000000000,./0.png
17.0647222251405,39.3806666683188,2004/01/22,CIRO' - Castello  (CIRO''),DL 22/01/2004,C725,1037.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1037.0000000000000000000000000000000,./0.png
17.0639999962789,39.3811388869568,2004/01/22,CIRO' - Cinta muraria  (CIRO''),DL 22/01/2004,C725,1038.0000000000000000000000000000000,Rudere,LR 12/04/1990 N. 42,Fortificazione,1038.0000000000000000000000000000000,./0.png
17.0372132421585,39.3839786394885,2004/01/22,CIRO' - Torre Gianturco T. Vecchia (CIRO'),DL 22/01/2004,C725,1039.0000000000000000000000000000000,Non vi è corrispondenza geografica.,LR 12/04/1990 N. 42,Fortificazione,1039.0000000000000000000000000000000,./0.png
