X,Y,DATA_CREAZ,DENOM_CORR,ENTE,ID_REG_BEN,RIFER_LEGG,TIPO_BENE,SE_SDO_ROW,icon_url
16.4153888931212,38.3494444474873,2004/01/22,CAULONIA - S. Sostene di Roccella,C285,451.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,451.0000000000000000000000000000000,./0.png
16.4853888914331,39.596111113163,2004/01/22,CORIGLIANO CALABRO - S. Vito in contrada Muzzari di Corigliano,D005,446.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,446.0000000000000000000000000000000,./0.png
16.3298333324133,38.8269444418421,2004/01/22,GIRIFALCO - Chiesa di S. Maria del Carmine in contrada S. Elia presso Curinga,E050,476.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,476.0000000000000000000000000000000,./0.png
16.0906666703384,38.0633333336907,2004/01/22,FERRUZZANO - Località Scotì di Sant'Agata del Bianco. Chiesa «Dei Briganti»,D557,479.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,479.0000000000000000000000000000000,./0.png
16.2837222172701,38.3574999964071,2004/01/22,GIOIOSA IONICA - Grotta del Saraceno nel comune di Martone,E044,481.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,481.0000000000000000000000000000000,./0.png
16.2559444403123,38.3477777745201,2004/01/22,GIOIOSA IONICA - S. Barbara di Mammola,E044,450.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,450.0000000000000000000000000000000,./0.png
15.7673333307452,37.9969444444874,2004/01/22,MELITO DI PORTO SALVO - S. Anastasio di Montebello,F112,470.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,470.0000000000000000000000000000000,./0.png
16.0759444500381,38.2361111083918,2004/01/22,PLATI' - S. Nicola di Cirella,G735,452.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,452.0000000000000000000000000000000,./0.png
15.9987222254917,38.2305555548727,2004/01/22,PLATI' - Chiesa di Afanto presso Oppido,G735,459.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,459.0000000000000000000000000000000,./0.png
16.0403888895271,38.1822222185413,2004/01/22,PLATI' - Rocche di S. Pietro,G735,482.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,482.0000000000000000000000000000000,./0.png
16.0270555604673,38.1780555576906,2004/01/22,PLATI' - S. Giorgio di Pietra Cappa,G735,455.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,455.0000000000000000000000000000000,./0.png
16.0273333286002,38.1547222249438,2004/01/22,SAN LUCA - S. Giovanni nel Castello di Pietra Cappa,H970,453.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,453.0000000000000000000000000000000,./0.png
16.0659444453829,38.1252777797246,2004/01/22,SAN LUCA - S. Nicola di Butramo,H970,454.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,454.0000000000000000000000000000000,./0.png
16.4489897682189,38.4680493698769,2004/01/22,PAZZANO - S. Maria di Monte Stella,G394,1440.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1440.0000000000000000000000000000000,./0.png
16.3520277744925,39.568222220788,2004/01/22,SAN DEMETRIO CORONE -  S. Adriano,H818,1435.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1435.0000000000000000000000000000000,./0.png
16.3587222274285,39.2636111090263,2004/01/22,SPEZZANO DELLA SILA - Pietrafitta. S. Martino in contrada Canale,I896,448.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,448.0000000000000000000000000000000,./0.png
16.5795555516326,38.4516666656003,2004/01/22,STILO - Punta Stilo presso Monasterace marina. Chiesa di S. Marco,I956,478.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,478.0000000000000000000000000000000,./0.png
16.4683174834233,38.4800371983833,2004/01/22,STILO - La Cattolica,I956,1431.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,1431.0000000000000000000000000000000,./0.png
16.0528888937308,38.0141666683962,2004/01/22,AFRICO - Chiesa in contrada Arsenti di Staiti,A065,458.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,458.0000000000000000000000000000000,./0.png
16.0773333276282,38.0211111067469,2004/01/22,AFRICO - S. Maria Annunziata in contrada Armenia di Bruzzano,A065,457.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,457.0000000000000000000000000000000,./0.png
16.072333332498,38.0322222244818,2004/01/22,AFRICO - S. Maria di Ferruzzano,A065,456.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,456.0000000000000000000000000000000,./0.png
15.709277773142,38.0277777738391,2004/01/22,BAGALADI - Chiesa anonima accanto alla SS. Annunziata di S. Niceto,A544,462.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,462.0000000000000000000000000000000,./0.png
15.709277773142,38.0277777738391,2004/01/22,BAGALADI - S. Maria Annunziata di S. Niceto,A544,461.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,461.0000000000000000000000000000000,./0.png
15.7739999956536,38.073055554583,2004/01/22,BAGALADI - S. Giovanni di Fossato,A544,469.0000000000000000000000000000000,LR 12/04/1990 N. 42,Monumenti Bizantini,469.0000000000000000000000000000000,./0.png
