X,Y,IDFRANA,PIFF_TY,LAT,LONG,X_COORD,Y_COORD,DIR,icon_url
15.668565305242,38.1039139817764,"800919500","2","38,10328","15,66856",1085002.37000000011,4238406.03000000026,214.00000000000,./0.png
15.6713182410665,38.1036035284669,"800919600","2","38,10297","15,67132",1085246.61000000010,4238388.98000000045,224.00000000000,./0.png
15.6718600634602,38.1034544996671,"800919700","2","38,10282","15,67186",1085295.38999999990,4238375.84999999963,212.00000000000,./0.png
15.6710678790482,38.0984028973087,"800919900","2","38,09777","15,67107",1085266.34000000008,4237809.41000000015,7.00000000000,./0.png
15.6765614607814,38.0929632570479,"800906700","2","38,09233","15,67656",1085792.46999999997,4237239.70999999996,339.00000000000,./0.png
15.6658330791342,38.1089026615866,"800911900","7","38,10827","15,66583",1084722.44999999995,4238943.15000000037,555.00000000000,./0.png
15.6649769440805,38.1252508490811,"800912300","7","38,12462","15,66498",1084516.20999999996,4240754.59999999963,555.00000000000,./0.png
15.6749449596791,38.1252829472031,"800903800","2","38,12465","15,67494",1085391.06000000006,4240821.36000000034,239.00000000000,./0.png
15.6649612323552,38.1259147942664,"800913800","2","38,12528","15,66496",1084509.51000000001,4240828.28000000026,261.00000000000,./0.png
15.6641888104706,38.1202220960234,"800918000","2","38,11959","15,66419",1084487.34000000008,4240190.73000000045,242.00000000000,./0.png
15.6641480174241,38.1209176553702,"800918100","2","38,12029","15,66415",1084478.17999999993,4240267.76999999955,352.00000000000,./0.png
15.6686899125783,38.1177604380008,"800918200","2","38,11713","15,66869",1084902.26000000001,4239945.66999999993,345.00000000000,./0.png
15.6639439552694,38.1126475180381,"800918300","2","38,11202","15,66394",1084526.55000000005,4239347.37000000011,235.00000000000,./0.png
15.6691290660497,38.1184472550951,"800910800","2","38,11782","15,66913",1084935.31000000006,4240024.78000000026,355.00000000000,./0.png
15.6706614577501,38.1300034534127,"800900100","11","38,12937","15,67066",1084977.12000000011,4241318.80999999959,555.00000000000,./0.png
15.671997634451,38.1288762962035,"800900200","7","38,12825","15,672",1085103.45999999996,4241202.00999999978,555.00000000000,./0.png
15.677922049411,38.1321968981877,"800913500","7","38,13157","15,67792",1085596.87000000011,4241608.63999999966,219.00000000000,./0.png
15.6787136162554,38.1304382785283,"800914500","2","38,12981","15,67871",1085680.48999999999,4241418.21999999974,251.00000000000,./0.png
15.6782529247888,38.1295882441027,"800915600","2","38,12896","15,67825",1085646.87000000011,4241320.82000000030,270.00000000000,./0.png
15.6784184652417,38.1281122401357,"800916700","7","38,12748","15,67842",1085673.27000000002,4241157.83999999985,258.00000000000,./0.png
15.6761087249608,38.1292315045566,"800917800","2","38,1286","15,67611",1085461.51000000001,4241267.57000000030,214.00000000000,./0.png
15.6820351407242,38.1321984957466,"800918900","2","38,13157","15,68203",1085957.90999999992,4241634.92999999970,234.00000000000,./0.png
15.6808085880387,38.1327435244461,"800900300","2","38,13211","15,68081",1085845.86000000010,4241687.71999999974,234.00000000000,./0.png
15.67829615172,38.1350418280602,"800901600","2","38,13441","15,67829",1085606.85000000009,4241927.19000000041,197.00000000000,./0.png
15.6747800490431,38.1344326066112,"800902700","2","38,1338","15,67478",1085303.10000000009,4241837.16999999993,153.00000000000,./0.png
15.6745480346076,38.132053257269,"800913300","2","38,13142","15,67455",1085301.84000000008,4241571.26999999955,176.00000000000,./0.png
15.673557862269,38.1335010906131,"800913400","2","38,13287","15,67356",1085203.30000000005,4241725.88999999966,185.00000000000,./0.png
15.6721092915398,38.1339529221153,"800913600","2","38,13332","15,67211",1085072.51000000001,4241766.91999999993,138.00000000000,./0.png
15.6674398338932,38.1264129039833,"800913700","2","38,12578","15,66744",1084723.11000000010,4240899.34999999963,200.00000000000,./0.png
15.6748823932735,38.1260662905447,"800913900","2","38,12544","15,67488",1085379.27000000002,4240908.01999999955,244.00000000000,./0.png
15.683285714815,38.1771502735602,"800904400","2","38,17652","15,68328",1085706.03000000003,4246638.66999999993,210.00000000000,./0.png
15.6824529659855,38.1768661222438,"800904500","2","38,17624","15,68245",1085635.26000000001,4246601.79999999981,208.00000000000,./0.png
