X,Y,COD_BENE,DENOM_CORR,DENOM_ATTO,ENTE,ID_REG_BEN,LOCALITA,NOTE_BENE,TIPO_BENE,ALLEGATI,SE_SDO_ROW,icon_url
16.3470662117197,38.4468846887039,,NARDODIPACE - Nardodipace (Vecchio abitato),Centri storici ex DGR 44/2010,F843,5191.0000000000000000000000000000000,,,Centro storico,,5191.0000000000000000000000000000000,./0.png
17.1271473865505,39.0806126162345,,CROTONE - Crotone  (CSU),Centri storici ex DGR 44/2010,D122,5127.0000000000000000000000000000000,,,Centro storico,,5127.0000000000000000000000000000000,./0.png
16.0782756126728,39.1601909718767,,BELMONTE CALABRO - Belmonte Calabro (CSU),Centri storici ex DGR 44/2010,A762,5064.0000000000000000000000000000000,,,Centro storico,,5064.0000000000000000000000000000000,./0.png
15.7163237287371,38.2530173185564,,SCILLA - Scilla  (CSU),Centri storici ex DGR 44/2010,I537,5175.0000000000000000000000000000000,,,Centro storico,,5175.0000000000000000000000000000000,./0.png
16.328981906892,39.8888773832732,,SAN LORENZO BELLIZZI - San Lorenzo Bellizzi,Centri storici ex DGR 44/2010,H961,5113.0000000000000000000000000000000,,,Centro storico,,5113.0000000000000000000000000000000,./0.png
16.7439239388954,38.9060096126059,,SELLIA MARINA - Sellia Marina,Centri storici ex DGR 44/2010,I590,5219.0000000000000000000000000000000,,,Centro storico,,5219.0000000000000000000000000000000,./0.png
15.8236981711891,39.9288315416031,,AIETA - Aieta,Centri storici ex DGR 44/2010,A105,5059.0000000000000000000000000000000,,,Centro storico,,5059.0000000000000000000000000000000,./0.png
16.2188646446863,38.2723318615207,,GERACE - Gerace (CSU),Centri storici ex DGR 44/2010,D975,5149.0000000000000000000000000000000,,,Centro storico,,5149.0000000000000000000000000000000,./0.png
16.2595153314982,39.2892154040645,,COSENZA - Cosenza,Centri storici ex DGR 44/2010,D086,5082.0000000000000000000000000000000,,,Centro storico,,5082.0000000000000000000000000000000,./0.png
16.7877383484981,39.1130189753278,,PETILIA POLICASTRO - Petilia Policastro,Centri storici ex DGR 44/2010,G508,5129.0000000000000000000000000000000,,,Centro storico,,5129.0000000000000000000000000000000,./0.png
16.1192408533143,39.5568146305701,,SAN MARCO ARGENTANO - San Marco Argentano (CSU),Centri storici ex DGR 44/2010,H981,5115.0000000000000000000000000000000,,,Centro storico,,5115.0000000000000000000000000000000,./0.png
15.7614317769517,37.9538861745492,,MELITO DI PORTO SALVO - Melito Porto Salvo/Pentadattilo (CSU),Centri storici ex DGR 44/2010,F112,5157.0000000000000000000000000000000,,,Centro storico,,5157.0000000000000000000000000000000,./0.png
15.7239000645314,38.1860357913363,,CALANNA - Calanna (CSU),Centri storici ex DGR 44/2010,B379,5141.0000000000000000000000000000000,,,Centro storico,,5141.0000000000000000000000000000000,./0.png
16.2887650303977,38.6815606530499,,CAPISTRANO - Capistrano /Nicastrello,Centri storici ex DGR 44/2010,B655,5192.0000000000000000000000000000000,,,Centro storico,,5192.0000000000000000000000000000000,./0.png
16.4247353409686,38.8235033375123,,GIRIFALCO - Girifalco (CSU),Centri storici ex DGR 44/2010,E050,5208.0000000000000000000000000000000,,,Centro storico,,5208.0000000000000000000000000000000,./0.png
15.8491700265411,38.3585832986557,,PALMI - Palmi (CSU),Centri storici ex DGR 44/2010,G288,5163.0000000000000000000000000000000,,,Centro storico,,5163.0000000000000000000000000000000,./0.png
16.1462295415023,39.3396914098949,,SAN FILI - San Fili (CSU),Centri storici ex DGR 44/2010,H841,5111.0000000000000000000000000000000,,,Centro storico,,5111.0000000000000000000000000000000,./0.png
16.6638037983,39.0004661652914,,ZAGARISE - Zagarise,Centri storici ex DGR 44/2010,M140,5224.0000000000000000000000000000000,,,Centro storico,,5224.0000000000000000000000000000000,./0.png
15.9844631359663,38.3160157562012,,VARAPODIO - Varapodio (CSU),Centri storici ex DGR 44/2010,L673,5180.0000000000000000000000000000000,,,Centro storico,,5180.0000000000000000000000000000000,./0.png
16.3128240118975,39.8284358707093,,CIVITA - Civita,Centri storici ex DGR 44/2010,C763,5079.0000000000000000000000000000000,,,Centro storico,,5079.0000000000000000000000000000000,./0.png
16.1634094075956,38.7356277292356,,PIZZO - Pizzo Calabro  (CSU),Centri storici ex DGR 44/2010,G722,5195.0000000000000000000000000000000,,,Centro storico,,5195.0000000000000000000000000000000,./0.png
16.0830109436427,38.0130470831627,,BRUZZANO ZEFFIRIO - Bruzzano Zeffirio (CSU),Centri storici ex DGR 44/2010,B234,5140.0000000000000000000000000000000,,,Centro storico,,5140.0000000000000000000000000000000,./0.png
15.8166311967423,39.6781528685416,,DIAMANTE - Diamante  (CSU),Centri storici ex DGR 44/2010,D289,5083.0000000000000000000000000000000,,,Centro storico,,5083.0000000000000000000000000000000,./0.png
15.8613026430466,38.2638488512844,,SANT'EUFEMIA D'ASPROMONTE - S. Eufemia D¿Aspromonte  (CSU),Centri storici ex DGR 44/2010,I333,5172.0000000000000000000000000000000,,,Centro storico,,5172.0000000000000000000000000000000,./0.png
16.3636919276725,39.5683938838229,,SAN DEMETRIO CORONE - San Demetrio Corone,Centri storici ex DGR 44/2010,H818,5110.0000000000000000000000000000000,,,Centro storico,,5110.0000000000000000000000000000000,./0.png
16.1668561412723,39.116960032422,,AIELLO CALABRO - Aiello Calabro,Centri storici ex DGR 44/2010,A102,5058.0000000000000000000000000000000,,,Centro storico,,5058.0000000000000000000000000000000,./0.png
16.2652861157241,38.3643204851901,,GROTTERIA - Grotteria (CSU),Centri storici ex DGR 44/2010,E212,5152.0000000000000000000000000000000,,,Centro storico,,5152.0000000000000000000000000000000,./0.png
16.5521717201784,38.4534121783592,,MONASTERACE - Monasterace (CSU),Centri storici ex DGR 44/2010,F324,5158.0000000000000000000000000000000,,,Centro storico,,5158.0000000000000000000000000000000,./0.png
16.331922220303,38.5791041966042,,SERRA SAN BRUNO - Serra S. Bruno,Centri storici ex DGR 44/2010,I639,5196.0000000000000000000000000000000,,,Centro storico,,5196.0000000000000000000000000000000,./0.png
16.4816072977765,38.4183699281661,,RIACE - Riace  (CSU),Centri storici ex DGR 44/2010,H265,5168.0000000000000000000000000000000,,,Centro storico,,5168.0000000000000000000000000000000,./0.png
15.8181074168913,39.7172733541174,,DIAMANTE - Diamante/Cirella (CSU),Centri storici ex DGR 44/2010,D289,5078.0000000000000000000000000000000,,,Centro storico,,5078.0000000000000000000000000000000,./0.png
15.8992320118689,38.4260166215435,,GIOIA TAURO - Gioia Tauro (CSU),Centri storici ex DGR 44/2010,E041,5150.0000000000000000000000000000000,,,Centro storico,,5150.0000000000000000000000000000000,./0.png
17.0502871036948,39.2663507482923,,STRONGOLI - Strangoli,Centri storici ex DGR 44/2010,I982,5131.0000000000000000000000000000000,,,Centro storico,,5131.0000000000000000000000000000000,./0.png
16.6352998258475,39.5749345763824,,ROSSANO - Rossano (CSU),Centri storici ex DGR 44/2010,H579,5108.0000000000000000000000000000000,,,Centro storico,,5108.0000000000000000000000000000000,./0.png
16.3863752601865,39.490882473984,,ACRI - Acri  (CSU),Centri storici ex DGR 44/2010,A053,5057.0000000000000000000000000000000,,,Centro storico,,5057.0000000000000000000000000000000,./0.png
16.0680823975849,38.6068258403657,,MILETO - Mileto,Centri storici ex DGR 44/2010,F207,5188.0000000000000000000000000000000,,,Centro storico,,5188.0000000000000000000000000000000,./0.png
16.0819119152369,38.4905651045127,,LAUREANA DI BORRELLO - Laureana di Borrello (CSU),Centri storici ex DGR 44/2010,E479,5153.0000000000000000000000000000000,,,Centro storico,,5153.0000000000000000000000000000000,./0.png
16.09104963075,39.7244354833717,,ACQUAFORMOSA - Acquaformosa,Centri storici ex DGR 44/2010,A033,5056.0000000000000000000000000000000,,,Centro storico,,5056.0000000000000000000000000000000,./0.png
15.9873108403509,39.8878659674398,,MORMANNO - Mormanno,Centri storici ex DGR 44/2010,F735,5096.0000000000000000000000000000000,,,Centro storico,,5096.0000000000000000000000000000000,./0.png
16.316638509756,39.7846146507456,,CASSANO ALLO IONIO - Cassano allo Ionio,Centri storici ex DGR 44/2010,C002,5074.0000000000000000000000000000000,,,Centro storico,,5074.0000000000000000000000000000000,./0.png
16.3400139781098,39.3010213311967,,SPEZZANO DELLA SILA - Spezzano della Sila (CSU),Centri storici ex DGR 44/2010,I896,5120.0000000000000000000000000000000,,,Centro storico,,5120.0000000000000000000000000000000,./0.png
15.9994104744038,39.4660199124738,,GUARDIA PIEMONTESE - Guardia Piemontese (CSU),Centri storici ex DGR 44/2010,E242,5087.0000000000000000000000000000000,,,Centro storico,,5087.0000000000000000000000000000000,./0.png
15.976366769154,38.4872930297527,,ROSARNO - Rosarno (CSU),Centri storici ex DGR 44/2010,H558,5171.0000000000000000000000000000000,,,Centro storico,,5171.0000000000000000000000000000000,./0.png
15.6947239485667,38.0027426472473,,MOTTA SAN GIOVANNI - Motta San Giovanni  (CSU),Centri storici ex DGR 44/2010,F779,5160.0000000000000000000000000000000,,,Centro storico,,5160.0000000000000000000000000000000,./0.png
16.4521809225398,38.4829635866633,,BIVONGI - Bivongi (CSU),Centri storici ex DGR 44/2010,A897,5137.0000000000000000000000000000000,,,Centro storico,,5137.0000000000000000000000000000000,./0.png
15.901214836021,39.5856325562745,,BONIFATI - Bonifati (CSU),Centri storici ex DGR 44/2010,A973,5068.0000000000000000000000000000000,,,Centro storico,,5068.0000000000000000000000000000000,./0.png
16.7871741318457,39.0191849013983,,BELCASTRO - Belcastro,Centri storici ex DGR 44/2010,A736,5201.0000000000000000000000000000000,,,Centro storico,,5201.0000000000000000000000000000000,./0.png
16.1293192990647,39.698607434809,,ALTOMONTE - Altomonte  (CSU),Centri storici ex DGR 44/2010,A240,5060.0000000000000000000000000000000,,,Centro storico,,5060.0000000000000000000000000000000,./0.png
15.9742544615723,39.9544589144229,,LAINO BORGO - Laino Borgo,Centri storici ex DGR 44/2010,E417,5088.0000000000000000000000000000000,,,Centro storico,,5088.0000000000000000000000000000000,./0.png
16.0873390860209,38.0392153851267,,FERRUZZANO - Ferruzzano (CSU),Centri storici ex DGR 44/2010,D557,5148.0000000000000000000000000000000,,,Centro storico,,5148.0000000000000000000000000000000,./0.png
16.6287797676692,39.0130346689165,,MAGISANO - Magisano,Centri storici ex DGR 44/2010,E806,5210.0000000000000000000000000000000,,,Centro storico,,5210.0000000000000000000000000000000,./0.png
16.0740107278268,39.1308911718023,,AMANTEA - Amantea  (CSU),Centri storici ex DGR 44/2010,A253,5061.0000000000000000000000000000000,,,Centro storico,,5061.0000000000000000000000000000000,./0.png
16.051200996734,38.0708713637095,,SAMO - Samo/Precacore,Centri storici ex DGR 44/2010,H013,5166.0000000000000000000000000000000,,,Centro storico,,5166.0000000000000000000000000000000,./0.png
16.7535389540111,39.2127683485429,,SAN GIOVANNI IN FIORE - S.Giovanni in Fiore/ Carello (CSU),Centri storici ex DGR 44/2010,H919,5071.0000000000000000000000000000000,,,Centro storico,,5071.0000000000000000000000000000000,./0.png
16.9463956992497,39.4964140233211,,CARIATI - Cariati   (CSU),Centri storici ex DGR 44/2010,B774,5072.0000000000000000000000000000000,,,Centro storico,,5072.0000000000000000000000000000000,./0.png
15.9804508622624,38.0641016811845,,AFRICO - Africo (CSU),Centri storici ex DGR 44/2010,A065,5133.0000000000000000000000000000000,,,Centro storico,,5133.0000000000000000000000000000000,./0.png
16.1658750338967,38.1926717264226,,ARDORE - Ardore (CSU),Centri storici ex DGR 44/2010,A385,5134.0000000000000000000000000000000,,,Centro storico,,5134.0000000000000000000000000000000,./0.png
16.3146545670944,38.6532561798971,,TORRE DI RUGGIERO - Torre di Ruggiero,Centri storici ex DGR 44/2010,L240,5223.0000000000000000000000000000000,,,Centro storico,,5223.0000000000000000000000000000000,./0.png
16.139697335743,38.2465510049911,,CIMINA' - Ciminà (CSU),Centri storici ex DGR 44/2010,C695,5144.0000000000000000000000000000000,,,Centro storico,,5144.0000000000000000000000000000000,./0.png
16.3825542100862,39.8595016219245,,CERCHIARA DI CALABRIA - Cerchiara di Calabria,Centri storici ex DGR 44/2010,C489,5076.0000000000000000000000000000000,,,Centro storico,,5076.0000000000000000000000000000000,./0.png
15.8051293698983,39.941116120433,,TORTORA - Tortora,Centri storici ex DGR 44/2010,L305,5122.0000000000000000000000000000000,,,Centro storico,,5122.0000000000000000000000000000000,./0.png
16.7828128158947,38.9678470404088,,CROPANI - Cropani,Centri storici ex DGR 44/2010,D181,5206.0000000000000000000000000000000,,,Centro storico,,5206.0000000000000000000000000000000,./0.png
16.2408290107197,38.3631670414707,,MAMMOLA - Mammola (CSU),Centri storici ex DGR 44/2010,E873,5155.0000000000000000000000000000000,,,Centro storico,,5155.0000000000000000000000000000000,./0.png
16.5784575802668,40.1095654241832,,ROCCA IMPERIALE - Rocca Imperiale,Centri storici ex DGR 44/2010,H416,5104.0000000000000000000000000000000,,,Centro storico,,5104.0000000000000000000000000000000,./0.png
